Раздел,Сайт,App Store,Play Market
Tinkoff Black,https://www.tinkoff.ru/cards/debit-cards/tinkoff-black/?dco_ic=c2bfa47f-38b8-11ec-8000-000075cc9a08&utm_source=google&utm_medium=ctx.cpc&utm_campaign=debit.black&utm_term=%7Cgclid%7CCj0KCQjwt-6LBhDlARIsAIPRQcIHsabKYHZG8zqudaM4vOdkTR_XXG1hYEVXaaQnJMzFCcMYvuSiD4MaAv9WEALw_wcB%7C%D1%82%D0%B8%D0%BD%D1%8C%D0%BA%D0%BE%D1%84%D1%84+%D0%B1%D0%BB%D1%8D%D0%BA&utm_content=k50id%7Caud-781080148697%3Akwd-494802936232%7Ccid%7C14977396476%7Caid%7C553787283967%7Cgid%7C133837726972%7Cpos%7C%7Csrctype%7Cg%7Csrc%7C%7Cdvc%7Cc%7Cregionid%7C9047067%7Cmt%7Ce%7C&gclid=Cj0KCQjwt-6LBhDlARIsAIPRQcIHsabKYHZG8zqudaM4vOdkTR_XXG1hYEVXaaQnJMzFCcMYvuSiD4MaAv9WEALw_wcB,https://apps.apple.com/ru/app/%D1%82%D0%B8%D0%BD%D1%8C%D0%BA%D0%BE%D1%84%D1%84-%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D0%B1%D0%B0%D0%BD%D0%BA/id455652438,https://play.google.com/store/apps/details?id=com.idamob.tinkoff.android&hl=ru&gl=US
Тинькофф Инвестиции,https://www.tinkoff.ru/invest/,https://apps.apple.com/ru/app/%D1%82%D0%B8%D0%BD%D1%8C%D0%BA%D0%BE%D1%84%D1%84-%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D0%B8-%D0%B1%D1%80%D0%BE%D0%BA%D0%B5%D1%80/id1183786286,https://play.google.com/store/apps/details?id=ru.tinkoff.investing&hl=ru&gl=US
Тинькофф Страхование,https://www.tinkoff.ru/insurance/,—,—
Газпромбанк,https://www.gazprombank.ru/,https://apps.apple.com/ru/app/%D1%82%D0%B5%D0%BB%D0%B5%D0%BA%D0%B0%D1%80%D0%B4-2-0/id1406492297,https://play.google.com/store/apps/details?id=ru.gazprombank.android.mobilebank.app&hl=ru&gl=US
Согаз Страхование,https://www.sogaz.ru/sogaz/,https://apps.apple.com/ru/developer/%D0%B0%D0%BE-sogaz/id1437409096?l=en,https://play.google.com/store/apps/details?id=ru.sogaz.app&hl=ru&gl=US
СберКарта,https://www.sberbank.ru/ru/person/bank_cards/debit/sberkarta?&utm_source=google&utm_medium=cpc&utm_campaign=debit_sberkarta_god_person_20210100033_context_search_product_brand_rus_desk_yxprdbc%7c14664591491&utm_content=cid%7c14664591491%7cgid%7c130875895161%7cad%7c546152602461%7ctrg_id%7caud-905169513546:kwd-888737436623%7cext_id%7c%7csrc%7c_g%7cgeo%7c9047067%7c&utm_term=%D1%81%D0%B1%D0%B5%D1%80%D0%BA%D0%B0%D1%80%D1%82%D0%B0&gclid=Cj0KCQjwt-6LBhDlARIsAIPRQcKSPtE7-oDsWo-De6ZTfkg47EnNQ9cCedX0IDy6ghCFZejloi5DPgMaAsnlEALw_wcB&gclsrc=aw.ds,https://apps.apple.com/ru/app/%D1%81%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD/id492224193,https://play.google.com/store/apps/details?id=ru.sberbankmobile&hl=ru&gl=US
Газпромбанк Лизинг,https://gpbl.ru/,https://apps.apple.com/ru/developer/id1447613941?l=en,https://play.google.com/store/apps/details?id=com.gpbl.autogpbl&hl=ru&gl=US
СберСтрахование,https://www.sberbank-insurance.ru/,https://apps.apple.com/ru/app/%D1%81%D0%B1%D0%B5%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80/id1419246360,https://play.google.com/store/apps/details?id=ru.calcul.osmotr.sber&hl=en_US&gl=US
Манго Страхование,https://mango.rocks/,https://apps.apple.com/ru/app/%D0%BC%D0%B0%D0%BD%D0%B3%D0%BE%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/id1516476266,https://play.google.com/store/apps/details?id=rocks.mango.mobile&hl=ru&gl=US
Yandex Pay,https://pay.yandex.ru/,—,—
Яндекс.Чаевые,...,—,—
Яндекс.Инвестиции,https://invest.yandex.ru/onboarding/,https://apps.apple.com/ru/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D0%B8/id1554070607,https://play.google.com/store/apps/details?id=ru.yandex.invest&hl=ru&gl=US
MTS CASHBACK,https://www.mtsbank.ru/chastnim-licam/karti/debet-card-cashback/,https://apps.apple.com/ru/app/%D0%BC%D1%82%D1%81-cashback-%D0%BA%D1%8D%D1%88%D0%B1%D1%8D%D0%BA-%D0%B4%D0%BE-25/id1265858815,https://play.google.com/store/apps/details?id=ru.mts.mtscashback&hl=ru&gl=US
Открытие,https://www.open.ru/,,
Ozon.Cards,https://card.ozon.ru/,,
