Раздел,Сайт,App Store,Play Market
Ситимобил,https://city-mobil.ru/,https://apps.apple.com/ru/app/%D1%81%D0%B8%D1%82%D0%B8%D0%BC%D0%BE%D0%B1%D0%B8%D0%BB-%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%B8-%D1%81%D0%B0%D0%BC%D0%BE%D0%BA%D0%B0%D1%82%D1%8B/id579220388,https://play.google.com/store/apps/details?id=com.citymobil&hl=ru&gl=US
Такси ВКонтакте,https://vk.com/vktaxi,—,—
Ситидрайв,https://citydrive.ru/,https://apps.apple.com/ru/app/%D1%81%D0%B8%D1%82%D0%B8%D0%B4%D1%80%D0%B0%D0%B9%D0%B2-%D0%BA%D0%B0%D1%80%D1%88%D0%B5%D1%80%D0%B8%D0%BD%D0%B3/id989836024,https://play.google.com/store/apps/details?id=youdrive.today&hl=ru&gl=US
Яндекс.Такси,https://taxi.yandex.ru/,https://apps.apple.com/ru/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-go-%D1%82%D0%B0%D0%BA%D1%81%D0%B8-%D0%B5%D0%B4%D0%B0-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0/id472650686,https://play.google.com/store/apps/details?id=ru.yandex.taxi&hl=ru&gl=US
Яндекс. Драйв,https://yandex.ru/drive/,https://apps.apple.com/ru/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D0%B4%D1%80%D0%B0%D0%B9%D0%B2-%D0%BA%D0%B0%D1%80%D1%88%D0%B5%D1%80%D0%B8%D0%BD%D0%B3/id1318875022,https://play.google.com/store/apps/details?id=com.yandex.mobile.drive&hl=ru&gl=US
Яндекс.Заправки,https://zapravki.yandex.ru/,https://apps.apple.com/ru/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D0%B7%D0%B0%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8/id963153237,https://play.google.com/store/apps/details?id=ru.yandex.mobile.gasstations&hl=ru&gl=US
Самокаты - Яндекс Go,https://go.yandex/ru_ru/lp/rides/scooter/,—,—
Яндекс Go,https://go.yandex/ru_ru/,,
Молния,https://molnia.city/,,
Woosh,https://whoosh.bike/,,
Uber,https://www.uber.com/ee/ru/,,
