Раздел,Сайт,App Store,Play Market
MTS Music,https://music.mts.ru/,https://apps.apple.com/ru/app/%D0%BC%D1%82%D1%81-music-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0-%D0%B8-%D1%80%D0%B0%D0%B4%D0%B8%D0%BE/id1062550132,https://play.google.com/store/apps/details?id=ru.mts.music.android&hl=ru&gl=US
KION,https://kion.ru/,https://apps.apple.com/ru/app/kion-%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D1%8B-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B-%D0%B8-%D1%82%D0%B2/id1451612172,https://play.google.com/store/apps/details?id=ru.mts.mtstv&hl=ru&gl=US
MTS Библиотека,https://books.mts.ru/,https://apps.apple.com/ru/app/%D0%BC%D1%82%D1%81-%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%BE%D1%82%D0%B5%D0%BA%D0%B0-%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C-%D0%BA%D0%BD%D0%B8%D0%B3%D0%B8/id1035268144,https://play.google.com/store/apps/details?id=ru.mts.books.droid&hl=ru&gl=US
START,https://start.ru/,https://apps.apple.com/ru/app/start-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B-%D0%BA%D0%B8%D0%BD%D0%BE-%D0%B8-%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D0%B8%D0%BA%D0%B8/id1273218458,https://play.google.com/store/apps/details?id=ru.start.androidmobile&hl=ru&gl=US
MyBook,https://mybook.ru/,https://apps.apple.com/ru/app/%D0%BA%D0%BD%D0%B8%D0%B3%D0%B8-%D0%B8-%D0%B0%D1%83%D0%B4%D0%B8%D0%BE%D0%BA%D0%BD%D0%B8%D0%B3%D0%B8-mybook/id556540446,https://play.google.com/store/apps/details?id=ru.mybook&hl=ru&gl=US
Okko,https://okko.tv/,https://apps.apple.com/ru/app/okko-%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D1%8B-hd-%D0%BA%D0%B8%D0%BD%D0%BE-%D0%B8-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B/id448868000,https://play.google.com/store/apps/details?id=ru.more.play&hl=ru&gl=US
СберЗвук,https://www.sberbank.com/ru/eco/sberzvuk,https://apps.apple.com/ru/app/%D0%B7%D0%B2%D1%83%D0%BA-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0-%D0%BE%D1%84%D1%84%D0%BB%D0%B0%D0%B9%D0%BD/id833449999,https://play.google.com/store/apps/details?id=com.zvooq.openplay&hl=ru&gl=US
Premier,https://www.sberbank.ru/ru/person/sb_premier,https://apps.apple.com/ru/app/premier-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B-%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D1%8B-%D1%82%D0%B2/id1334187043,https://play.google.com/store/apps/details?id=gpm.tnt_premier&hl=ru&gl=US
IVI,https://www.ivi.ru/,https://apps.apple.com/ru/app/ivi-%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D1%8B-%D0%B8-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD/id455705533,https://play.google.com/store/apps/details?id=ru.ivi.client&hl=ru&gl=US
Музыка ВКонтакте,https://vk.com/vkmusic,https://apps.apple.com/ru/app/%D0%B2%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D0%B5-%D1%87%D0%B0%D1%82-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0-%D0%B8-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE/id564177498,https://play.google.com/store/apps/details?id=com.vkontakte.android&hl=ru&gl=US
Boom,https://boom.ru/,https://apps.apple.com/ru/app/boom-%D0%BF%D0%BB%D0%B5%D0%B5%D1%80-%D0%B4%D0%BB%D1%8F-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8/id1054372220,https://play.google.com/store/apps/details?id=com.uma.musicvk&hl=ru&gl=US
Wink,https://wink.rt.ru/,https://apps.apple.com/ru/app/wink-%D0%BA%D0%B8%D0%BD%D0%BE-%D0%B8-%D1%82%D0%B2-%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB%D1%8B-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD/id1294366633,https://play.google.com/store/apps/details?id=ru.rt.video.app.mobile&hl=ru&gl=US
http://MY.GAMES Cloud,https://cloud.my.games/,https://apps.apple.com/ru/app/my-games-app/id1513171161,https://play.google.com/store/apps/details?id=com.my.mygamesapp&hl=ru&gl=US
Литрес,https://www.litres.ru/,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D1%82%D1%80%D0%B5%D1%81-%D1%87%D0%B8%D1%82%D0%B0%D0%B9-%D0%B8-%D1%81%D0%BB%D1%83%D1%88%D0%B0%D0%B9-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD/id438441429,https://play.google.com/store/apps/details?id=ru.litres.android&hl=ru&gl=US
Кинопоиск,https://www.kinopoisk.ru/,https://apps.apple.com/ru/app/%D0%BA%D0%B8%D0%BD%D0%BE%D0%BF%D0%BE%D0%B8%D1%81%D0%BA-%D0%BA%D0%B8%D0%BD%D0%BE-%D0%B8-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B/id477718890,https://play.google.com/store/apps/details?id=ru.kinopoisk&hl=ru&gl=US
Яндекс Музыка,https://music.yandex.ru/,https://apps.apple.com/ru/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0-%D0%B8-%D0%BF%D0%BE%D0%B4%D0%BA%D0%B0%D1%81%D1%82%D1%8B/id520797969,https://play.google.com/store/apps/details?id=ru.yandex.music&hl=ru&gl=US
more.tv,https://more.tv/,https://apps.apple.com/ru/app/more-tv-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B-%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D1%8B-ufc/id609430840,https://play.google.com/store/apps/details?id=com.ctcmediagroup.videomore&hl=ru&gl=US
https://more.tv/,https://www.amediateka.ru/,https://apps.apple.com/ru/app/amediateka-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD/id695094274,https://play.google.com/store/apps/details?id=com.amdteka&hl=ru&gl=US
