Раздел,Сайт,App Store,Play Market
Самокат,https://samokat.ru/,https://apps.apple.com/ru/app/%D1%81%D0%B0%D0%BC%D0%BE%D0%BA%D0%B0%D1%82-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2/id1401500803,https://play.google.com/store/apps/details?id=ru.sbcs.store&hl=ru&gl=US
Еда ВКонтакте,https://vk.com/vkeda,—,"— "
Яндекс.Еда,https://eda.yandex.ru/spb/?shippingType=delivery,https://apps.apple.com/ru/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D0%B5%D0%B4%D0%B0-%D0%B7%D0%B0%D0%BA%D0%B0%D0%B7-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2/id1078986931,https://play.google.com/store/apps/details?id=ru.foodfox.client&hl=ru&gl=US
Яндекс.Лавка,https://lavka.yandex/,https://apps.apple.com/ru/app/%D1%8F%D0%BD%D0%B4%D0%B5%D0%BA%D1%81-%D0%BB%D0%B0%D0%B2%D0%BA%D0%B0-%D0%B7%D0%B0%D0%BA%D0%B0%D0%B7-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2/id1515819287,https://play.google.com/store/apps/details?id=com.yandex.lavka&hl=ru&gl=US
Лента,https://lenta.com/,https://apps.apple.com/ru/app/%D0%BB%D0%B5%D0%BD%D1%82%D0%B0-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2/id1435905858,https://play.google.com/store/apps/details?id=com.icemobile.lenta.prod&hl=ru&gl=US
СберМаркет,https://sbermarket.ru/,https://apps.apple.com/ru/app/%D1%81%D0%B1%D0%B5%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2/id1166642457,https://play.google.com/store/apps/details?id=ru.instamart&hl=ru&gl=US
Около доставка,https://dostavka.okolo.app/,https://apps.apple.com/ru/app/%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2-%D0%B8-%D0%B5%D0%B4%D1%8B/id1531473122,https://play.google.com/store/apps/details?id=com.x5.okoloapp&hl=ru&gl=US
Перекрёсток,https://www.perekrestok.ru/,https://apps.apple.com/ru/app/%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%BA-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2/id1052681694,https://play.google.com/store/apps/details?id=ru.perekrestok.app&hl=ru&gl=US
Пятёрочка,https://dostavka.5ka.ru/,https://apps.apple.com/ru/app/%D0%BF%D1%8F%D1%82%D1%91%D1%80%D0%BE%D1%87%D0%BA%D0%B0-%D1%81%D0%BA%D0%B8%D0%B4%D0%BA%D0%B8-%D0%B8-%D0%B0%D0%BA%D1%86%D0%B8%D0%B8/id1174271758,https://play.google.com/store/apps/details?id=pyaterochka.app&hl=ru&gl=US
Много лосося,https://mnogolososya.ru/,https://apps.apple.com/RU/app/id1541110477?mt=8,https://play.google.com/store/apps/details?id=com.thapl.ml
СберФуд,https://plazius.ru/,,
